Date,return
2005-01-04,0.0
2005-01-05,0.0
2005-01-06,0.0
2005-01-07,0.0
2005-01-10,0.0
2005-01-11,0.0
2005-01-12,0.0
2005-01-13,0.0
2005-01-14,0.0
2005-01-18,0.0
2005-01-19,0.0
2005-01-20,0.0
2005-01-21,0.0
2005-01-24,0.0
2005-01-25,0.0
2005-01-26,0.0
2005-01-27,0.0
2005-01-28,0.0
2005-01-31,0.0
2005-02-01,0.0
2005-02-02,0.0
2005-02-03,0.0
2005-02-04,0.0
2005-02-07,0.0
2005-02-08,0.0
2005-02-09,0.0
2005-02-10,0.0
2005-02-11,0.0
2005-02-14,0.0
2005-02-15,0.0
2005-02-16,0.0
2005-02-17,0.0
2005-02-18,0.0
2005-02-22,0.0
2005-02-23,0.0
2005-02-24,0.0
2005-02-25,0.0
2005-02-28,0.0
2005-03-01,0.0
2005-03-02,0.0
2005-03-03,0.0
2005-03-04,0.0
2005-03-07,0.0
2005-03-08,0.0
2005-03-09,0.0
2005-03-10,0.0
2005-03-11,0.0
2005-03-14,0.0
2005-03-15,0.0
2005-03-16,0.0
2005-03-17,0.0
2005-03-18,0.0
2005-03-21,0.0
2005-03-22,0.0
2005-03-23,0.0
2005-03-24,0.0
2005-03-28,0.0
2005-03-29,0.0
2005-03-30,0.0
2005-03-31,0.0
2005-04-01,0.0
2005-04-04,0.0
2005-04-05,0.0
2005-04-06,0.0
2005-04-07,0.0
2005-04-08,0.0
2005-04-11,0.0
2005-04-12,0.0
2005-04-13,0.0
2005-04-14,0.0
2005-04-15,0.0
2005-04-18,0.0
2005-04-19,0.0
2005-04-20,0.0
2005-04-21,0.0
2005-04-22,0.0
2005-04-25,0.0
2005-04-26,0.0
2005-04-27,0.0
2005-04-28,0.0
2005-04-29,0.0
2005-05-02,0.0
2005-05-03,0.0
2005-05-04,0.0
2005-05-05,0.0
2005-05-06,0.0
2005-05-09,0.0
2005-05-10,0.0
2005-05-11,0.0
2005-05-12,0.0
2005-05-13,0.0
2005-05-16,0.0
2005-05-17,0.0
2005-05-18,0.0
2005-05-19,0.0
2005-05-20,0.0
2005-05-23,0.0
2005-05-24,0.0
2005-05-25,0.0
2005-05-26,0.0
2005-05-27,0.0
2005-05-31,0.0
2005-06-01,0.0
2005-06-02,0.0
2005-06-03,0.0
2005-06-06,0.0
2005-06-07,0.0
2005-06-08,0.0
2005-06-09,0.0
2005-06-10,0.0
2005-06-13,0.0
2005-06-14,0.0
2005-06-15,0.0
2005-06-16,0.0
2005-06-17,0.0
2005-06-20,0.0
2005-06-21,0.0
2005-06-22,0.0
2005-06-23,0.0
2005-06-24,0.0
2005-06-27,0.0
2005-06-28,0.0
2005-06-29,0.0
2005-06-30,0.0
2005-07-01,0.0
2005-07-05,0.0
2005-07-06,-0.0005860818504860151
2005-07-07,-2.1350983835182597e-05
2005-07-08,0.003161198211974223
2005-07-11,0.0020926055233413798
2005-07-12,0.000517523698104547
2005-07-13,-0.0008224426566553035
2005-07-14,-0.0007695334589227526
2005-07-15,-0.00023051102907364112
2005-07-18,4.227094358239707e-05
2005-07-19,0.0014506210465637702
2005-07-20,0.0008393401987158867
2005-07-21,-0.000683372493100934
2005-07-22,0.0003400966188262447
2005-07-25,-0.0010015737590526412
2005-07-26,0.003120580381271962
2005-07-27,0.0005998529854132008
2005-07-28,0.0014105543503054579
2005-07-29,0.00039565955961093276
2005-08-01,0.0021179420968595094
2005-08-02,0.002483057549772596
2005-08-03,-0.001616760478779707
2005-08-04,-0.002411702959588738
2005-08-05,-0.0014543123627103291
2005-08-08,8.058152719629758e-05
2005-08-09,0.0014793337060796997
2005-08-10,0.0016444465176461175
2005-08-11,-0.00038647183509566644
2005-08-12,-0.0028838588725679437
2005-08-15,0.000609071947682914
2005-08-16,-0.0027462623051639377
2005-08-17,-0.0006552887350420632
2005-08-18,-0.0027936939964984596
2005-08-19,-4.200272931404052e-05
2005-08-22,0.0009360087037240141
2005-08-23,-0.0015198950818595602
2005-08-24,-0.0005703946885391559
2005-08-25,0.0006117986188147879
2005-08-26,-0.0007940350352293743
2005-08-29,0.00046957260085534424
2005-08-30,2.0376726348056364e-05
2005-08-31,0.00017266659773766246
2005-09-01,-0.002285326184103993
2005-09-02,-0.0003652403469013401
2005-09-06,0.0015894048125792678
2005-09-07,-3.3171591085546094e-05
2005-09-08,-0.0006127863170309015
2005-09-09,0.0009069092357199006
2005-09-12,-3.701404749162926e-05
2005-09-13,-0.0018955552571796404
2005-09-14,-0.0013810522792646628
2005-09-15,-0.0002070467184147846
2005-09-16,0.0027006439362589913
2005-09-19,-0.00204845155257446
2005-09-20,-0.0005506899353064248
2005-09-21,-0.002334773157766482
2005-09-22,-0.0013184920581321004
2005-09-23,0.0009202082084916893
2005-09-26,0.0018894787709845897
2005-09-27,-0.001248865247900231
2005-09-28,-8.901182153108795e-05
2005-09-29,0.002889813182331486
2005-09-30,0.0008273747594953513
2005-10-03,0.0022527507883848344
2005-10-04,-0.001724837959650197
